decadas,canciones,artistas,reproducciones,billboard,danceability,generos,eligio
20,GIRL HELL 1999,femtanyl,"17,900,000",0,51%,Electrónica,Vari
20,HOPE,NF,"329,000,000",49,55%,Rap,Vari
20,Fable,Gigi Perez,"99,500,000",55,32%,Pop,Rosita
20,Moscow Mule,Bad Bunny,"2,290,000,000",4,95%,Reguetón,Steffy
20,Dejame Entrar,Rauw Alejandro,"136,000,000",94,82%,Reguetón,Steffy
20,Blinding Lights,The Weeknd,"7,770,000,000",1,85%,Pop,Steffy
20,Ojitos lindos,Bad Bunny,"1,658,000",77,60%,Reguetón,Steffy
20,Sunflower,Post Malone,"6,680,000,000",3,76%,Pop,Steffy
10,Take Me To Church,Hozier,"3,060,000,000",2,57%,Folk,Vari
10,Hear Me,Imagine Dragons,"116,000,000",0,61%,Rock,Vari
10,Mystery of Love,Sufjan Stevens,"582,000,000",63,36%,Indie,Rosita
10,Wake Me Up,Avicci,"2,710,000,000",34,53%,Indie,Steffy
10,A Sky Full Of Stars,Coldplay,"2,990,000,000",10,55%,Pop,Steffy
10,Love Yourself,Justin Bieber,"5,430,000,000",1,41%,Pop,Steffy
00,In The End,Linkin Park,"2,590,000,000",2,56%,Rock,Vari
00,Twilight,BoA,"152,000,000",0,39%,Pop,Rosita
00,My Alcoholic Friends,The Dresden Dolls,"240,000,000",0,60%,Indie,Rosita
00,One More Time,Daft Punk,"767,000,000",61,90%,Electrónica,Steffy
00,Girl with One Eye,Florence + the machine,"88,600,000",0,43%,Rock,Rosita
00,Crime and Punishment,Sheena Ringo,"26,100,000",0,39%,Rock,Rosita
90,My Name Is,Eminem,"982,000,000",36,87%,Rap,Vari
90,Creep,Radiohead,"3,590,000,000",34,52%,Rock,Vari
90,Iris,Goo Goo Dolls,"3,270,000,000",9,32%,Rock,Rosita
90,Wonderwall,Oasis,"3,410,000,000",1,41%,Rock,Steffy
90,Enjoy the silence,Depeche Mode,"1,580,000,000",8,63%,Rock,Steffy
80,Im Still Standing,Elton John,"2,000,000,000",12,50%,Pop,Vari
80,Where Is My Mind?,Pixies,"1,400,000,000",17,52%,Rock,Rosita
80,Message in the Bottle,The Police,"2,600,000",74,45%,Rock,Steffy
80,In the air tonight,Phil Collins,"500,000,000",19,50%,Pop,Steffy
80,Like a Virgin,Madonna,"325,000,000",1,74%,Pop,Steffy
